depth(-15)	min	max	median	mean
89.5	7595	7785	7691	7691
90	7596	7786	7692	7692
90.5	7597	7787	7693	7693
91	7598	7788	7694	7694
91.5	7600	7789	7696	7695
92	7601	7790	7697	7696
92.5	7602	7791	7698	7697
93	7603	7792	7699	7698
93.5	7603	7793	7700	7699
94	7605	7794	7701	7700
94.5	7606	7794	7702	7701
95	7607	7795	7703	7702
95.5	7608	7796	7704	7703
96	7609	7797	7705	7704
96.5	7610	7798	7706	7705
97	7611	7799	7707	7706
97.5	7612	7800	7708	7707
98	7613	7801	7709	7708
98.5	7614	7802	7710	7709
99	7615	7803	7711	7710
99.5	7615	7803	7712	7711
100	7617	7804	7713	7712
100.5	7618	7805	7714	7713
101	7619	7806	7715	7714
101.5	7620	7807	7716	7715
102	7621	7808	7717	7716
102.5	7621	7809	7718	7717
103	7622	7810	7719	7718
103.5	7623	7811	7720	7719
104	7625	7812	7721	7720
104.5	7626	7813	7722	7721
105	7627	7814	7723	7722
105.5	7628	7815	7724	7723
106	7629	7816	7725	7724
106.5	7630	7817	7726	7725
107	7630	7818	7727	7726
107.5	7631	7819	7728	7727
108	7632	7821	7728	7728
108.5	7633	7821	7729	7729
109	7634	7822	7730	7730
109.5	7635	7823	7731	7731
110	7636	7824	7733	7732
110.5	7637	7825	7733	7733
111	7638	7826	7735	7734
111.5	7639	7827	7736	7735
112	7640	7828	7737	7736
112.5	7641	7829	7738	7737
113	7641	7830	7739	7738
113.5	7643	7831	7740	7738
114	7644	7832	7740	7739
114.5	7645	7833	7741	7740
115	7646	7833	7742	7741
115.5	7647	7834	7743	7742
116	7648	7835	7744	7743
116.5	7648	7836	7745	7744
117	7649	7837	7746	7745
117.5	7650	7837	7747	7746
118	7652	7838	7748	7747
118.5	7652	7839	7749	7748
119	7653	7840	7750	7749
119.5	7654	7842	7751	7750
120	7655	7843	7752	7751
120.5	7657	7844	7753	7752
121	7658	7845	7754	7753
121.5	7659	7846	7755	7754
122	7660	7847	7755	7755
122.5	7661	7848	7756	7756
123	7662	7849	7757	7757
123.5	7663	7850	7758	7758
124	7664	7851	7759	7759
124.5	7665	7851	7760	7760
125	7666	7852	7761	7760
125.5	7667	7853	7762	7761
126	7668	7854	7763	7762
126.5	7669	7854	7764	7763
127	7670	7855	7765	7764
127.5	7671	7856	7766	7765
128	7671	7857	7767	7766
128.5	7672	7857	7768	7767
129	7673	7858	7769	7768
129.5	7674	7859	7770	7769
130	7675	7860	7771	7770
130.5	7676	7861	7772	7771
131	7677	7862	7773	7772
131.5	7678	7864	7774	7773
132	7679	7865	7775	7774
132.5	7680	7866	7776	7775
133	7681	7867	7777	7776
133.5	7682	7867	7778	7777
134	7683	7868	7779	7778
134.5	7684	7869	7780	7779
135	7685	7870	7781	7780
135.5	7686	7871	7782	7781
136	7687	7872	7783	7782
136.5	7688	7873	7783	7782
137	7689	7874	7784	7783
137.5	7690	7875	7785	7784
138	7690	7876	7786	7785
138.5	7692	7877	7787	7786
139	7692	7877	7788	7787
139.5	7693	7878	7789	7788
140	7694	7879	7790	7789
140.5	7695	7881	7791	7790
141	7696	7882	7792	7791
141.5	7696	7883	7793	7792
142	7697	7884	7794	7793
142.5	7698	7885	7795	7794
143	7699	7887	7796	7795
143.5	7700	7887	7797	7796
144	7701	7888	7798	7797
144.5	7701	7889	7799	7798
145	7703	7890	7800	7799
145.5	7704	7891	7801	7800
146	7705	7892	7802	7801
146.5	7706	7893	7803	7802
147	7707	7894	7804	7803
147.5	7708	7895	7805	7804
148	7709	7896	7806	7804
148.5	7710	7897	7807	7805
149	7711	7897	7808	7806
149.5	7711	7898	7809	7807
150	7712	7900	7809	7808
150.5	7713	7900	7810	7809
151	7715	7901	7811	7810
151.5	7716	7902	7812	7811
152	7717	7903	7813	7812
152.5	7717	7904	7814	7813
153	7718	7905	7815	7814
153.5	7719	7906	7816	7815
154	7720	7907	7817	7816
154.5	7721	7908	7818	7817
155	7722	7909	7819	7818
155.5	7723	7910	7820	7819
156	7724	7911	7820	7820
156.5	7725	7912	7821	7821
157	7726	7913	7822	7821
157.5	7727	7914	7823	7822
158	7727	7915	7824	7823
158.5	7728	7916	7825	7824
159	7729	7917	7826	7825
159.5	7730	7918	7827	7826
160	7731	7919	7828	7827
160.5	7732	7920	7829	7828
161	7733	7921	7830	7829
161.5	7734	7922	7831	7830
162	7735	7922	7832	7831
162.5	7736	7923	7833	7832
163	7737	7925	7833	7832
163.5	7738	7926	7834	7833
164	7739	7927	7835	7834
164.5	7740	7928	7836	7835
165	7741	7929	7837	7836
165.5	7742	7929	7838	7837
166	7743	7930	7839	7838
166.5	7744	7930	7840	7839
167	7745	7931	7841	7840
167.5	7746	7932	7842	7841
168	7747	7933	7843	7842
168.5	7748	7934	7844	7843
169	7748	7935	7845	7844
169.5	7749	7936	7846	7844
170	7750	7937	7847	7845
170.5	7751	7938	7848	7846
171	7751	7939	7848	7847
171.5	7752	7940	7849	7848
172	7753	7941	7850	7849
172.5	7754	7941	7851	7850
173	7755	7942	7852	7851
173.5	7756	7943	7853	7852
174	7756	7944	7854	7853
174.5	7757	7945	7855	7854
175	7759	7946	7856	7855
175.5	7760	7948	7857	7856
176	7760	7949	7858	7856
176.5	7762	7950	7859	7857
177	7763	7951	7860	7858
177.5	7763	7952	7860	7859
178	7764	7953	7861	7860
178.5	7765	7954	7862	7861
179	7766	7954	7863	7862
179.5	7767	7955	7864	7863
180	7768	7956	7865	7864
180.5	7769	7957	7866	7865
181	7769	7958	7867	7866
181.5	7770	7958	7867	7867
182	7771	7959	7868	7868
182.5	7772	7961	7869	7869
183	7773	7962	7870	7870
183.5	7774	7963	7871	7870
184	7775	7964	7872	7871
184.5	7776	7964	7873	7872
185	7777	7965	7874	7873
185.5	7778	7966	7875	7874
186	7778	7967	7876	7875
186.5	7780	7968	7877	7876
187	7780	7969	7878	7877
187.5	7781	7970	7879	7878
188	7782	7971	7880	7879
188.5	7783	7973	7881	7880
189	7783	7974	7882	7881
189.5	7784	7975	7883	7882
190	7785	7977	7884	7883
190.5	7786	7978	7885	7884
191	7788	7979	7885	7885
191.5	7788	7980	7886	7886
192	7789	7981	7887	7887
192.5	7790	7982	7889	7888
193	7791	7983	7890	7889
193.5	7792	7984	7890	7890
194	7793	7986	7892	7891
194.5	7794	7987	7893	7892
195	7795	7988	7893	7893
195.5	7796	7989	7894	7894
196	7797	7990	7895	7895
196.5	7797	7991	7897	7896
197	7798	7993	7898	7897
197.5	7799	7994	7899	7898
198	7800	7995	7900	7898
198.5	7800	7995	7901	7899
199	7801	7997	7902	7900
199.5	7803	7998	7903	7901
200	7804	7998	7904	7902
200.5	7804	7999	7905	7903
201	7805	8000	7906	7904
201.5	7806	8001	7907	7905
202	7807	8002	7908	7906
202.5	7808	8003	7909	7907
203	7809	8004	7910	7908
203.5	7810	8005	7911	7909
204	7811	8006	7911	7910
204.5	7812	8007	7912	7911
205	7813	8008	7913	7912
205.5	7814	8009	7914	7913
206	7815	8009	7915	7914
206.5	7816	8011	7916	7915
207	7817	8011	7917	7916
207.5	7817	8013	7918	7917
208	7818	8015	7919	7918
208.5	7819	8015	7920	7919
209	7820	8016	7921	7920
209.5	7821	8017	7922	7921
210	7821	8019	7923	7922
210.5	7822	8020	7924	7923
211	7823	8021	7925	7924
211.5	7824	8022	7926	7925
212	7825	8024	7927	7926
212.5	7826	8025	7928	7927
213	7827	8026	7929	7928
213.5	7828	8027	7930	7929
214	7829	8029	7931	7930
214.5	7829	8029	7932	7931
215	7831	8030	7933	7932
215.5	7831	8032	7934	7933
216	7833	8033	7935	7934
