Core,Depth,2000,500,125,0
CY-02A,205,0.249737119,2.313354364,19.21661409,78.22029443
CY-02A,210,0.510144928,3.455072464,34.77101449,61.26376812
CY-02A,215,0.203510557,4.795217502,37.02620198,57.97506996
CY-02A,220,0.790305585,6.79662803,12.72918862,79.68387777
CY-02A,225,1.000860956,9.674989238,16.71330176,72.61084804
CY-02A,230,2.036328872,13.91969407,17.08413002,66.95984704
CY-02A,235,0.88997555,12.0391198,24.98777506,62.08312958
CY-02A,240,0.641805909,8.43200177,18.83368374,72.09250858
CY-02A,245,2.931754199,8.474905349,17.52257062,71.07076983
CY-02A,250,1.215953307,11.34079118,17.41245136,70.03080415
CY-02A,256,11.24357917,12.19481261,18.89783753,57.66377069
CY-03A,5,2.319935258,68.54599407,24.92581602,4.208254653
CY-03A,10,0.56698866,64.09071819,30.00839983,5.333893322
CY-03A,15,1.59241367,64.78797638,25.37126498,8.248344963
CY-03A,20,0.898379971,56.86303387,30.66273932,11.57584683
CY-03A,25,1.006949369,60.48787406,26.71961424,11.78556233
CY-03A,30,0.802752294,57.14285714,27.21166448,14.84272608
CY-03A,35,0.911594341,62.09286867,21.93523882,15.06029817
CY-03A,40,3.224993701,55.94608214,23.97329302,16.85563114
CY-03A,45,2.283333333,65.2,26.93333333,5.583333333
CY-03A,50,1.710907032,59.34079758,29.07283935,9.875456032
CY-03A,55,0.701016474,66.94707326,28.19254586,4.159364412
CY-03A,60,2.379163536,68.4823441,21.90082645,7.237665915
CY-03A,65,1.544622426,66.69527079,23.48398169,8.276125095
CY-03A,70,2.627004056,60.96194707,24.08730925,12.32373962
CY-03A,75,1.604686704,59.57717779,23.48446256,15.33367295
CY-03A,80,1.992428771,62.22355051,22.67383941,13.11018131
CY-03A,85,2.688172043,59.95619275,25.88610115,11.46953405
CY-03A,90,2.045231072,50.20648968,16.79449361,30.95378564
CY-03A,95,1.944510315,49.51387242,21.98245198,26.55916528
CY-03A,100,0.599376648,24.74226804,13.97746344,60.68089187
CY-03A,105,0.023457659,5.090311987,8.820079756,86.0661506
CY-03A,110,0.127648711,7.990809293,11.8713301,80.0102119
CY-03A,115,0.029368576,9.897209985,13.1277533,76.94566814
CY-03A,120,0.033715442,9.710047202,16.41942009,73.83681726
CY-03A,125,0.111457869,4.034774855,9.36246099,86.49130629
CY-03A,130,0.113271663,5.380404002,11.21389466,83.29242968
CY-03A,135,0.116414435,5.791618161,14.05704307,80.03492433
CY-03A,140,0.222222222,3.844444444,13.08888889,82.84444444
CY-03A,145,0.014411298,3.991929673,11.57227266,84.42138637
CY-03A,150,0.029904306,3.199760766,9.988038278,86.78229665
CY-03A,153,0,7.065217391,14.13043478,78.80434783
HA-02A,5,17.56801049,67.12612324,8.249552933,7.05631334
HA-02A,10,19.35846933,63.6140589,11.70103902,5.326432752
HA-02A,15,22.42562929,57.75404729,11.8515553,7.968768116
HA-02A,20,30.55400112,49.03907387,10.42793788,9.978987129
HA-02A,25,26.08473711,54.13544461,10.65075651,9.129061766
