Code,Location,Site,Day,Month,Year,Depth,Replicate,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
SE-SW-D0-1992-3-23-T4,Pulau Semakau,SE-SW,23,3,1992,0,4,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,33,8,49,0,0,0,25,0,0,0,0,25,0,35,0,223,0,0,0,0,0,0,0,139,0,306,0,42,0,0,0,0,45,0,32,0,0,0,0,13,0,0,0,1156
SE-SW-D0-1992-3-23-T5,Pulau Semakau,SE-SW,23,3,1992,0,5,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0,34,8,35,17,0,0,0,19,99,0,0,0,0,0,0,18,0,113,0,0,75,0,0,0,0,43,0,354,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,1217
SE-SW-D0-1988-11-29-T1,Pulau Semakau,SE-SW,29,11,1988,0,1,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,137,96,0,0,0,26,0,0,0,0,0,0,57,0,70,0,0,0,0,0,0,0,0,0,178,0,10,24,0,0,0,0,0,5,0,0,0,0,0,0,0,0,648
SE-SW-D0-1988-11-29-T2,Pulau Semakau,SE-SW,29,11,1988,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,28,0,15,0,0,42,0,0,0,0,16,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,32,0,175,46,0,7,37,0,0,0,25,0,0,0,0,0,0,0,0,0,0,480
SE-SW-D0-1988-11-29-T3,Pulau Semakau,SE-SW,29,11,1988,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,120,0,0,0,0,10,0,40,0,258,0,0,59,0,0,0,0,90,185,155,0,50,0,0,0,0,0,0,15,0,0,0,0,0,0,30,0,1055
SE-SW-D0-1988-11-29-T4,Pulau Semakau,SE-SW,29,11,1988,0,4,0,0,0,0,0,0,0,0,0,20,100,35,0,0,0,0,0,0,60,0,0,0,0,20,0,0,0,0,0,0,80,0,405,0,0,285,0,0,0,0,130,0,335,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535
SE-SW-D0-1988-11-29-T5,Pulau Semakau,SE-SW,29,11,1988,0,5,0,0,0,0,0,0,0,0,0,0,50,0,0,70,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,30,35,0,0,0,15,10,347,0,70,30,0,0,0,0,0,55,0,0,0,0,0,0,0,0,1324
SE-SW-D6-1989-11-29-T1,Pulau Semakau,SE-SW,29,11,1989,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
SE-SW-D6-1989-11-29-T2,Pulau Semakau,SE-SW,29,11,1989,6,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21,0,0,0,0,0,0,0,57
SE-SW-D6-1989-11-29-T3,Pulau Semakau,SE-SW,29,11,1989,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
