Core,Site,DepthConsolidated,AgeConsolidated500,Age,Acropora,Montipora,Euphyllia,Goniopora,Porites,Merulinidae,Unknown,Heliopora,Fungia,Diploastrea,Tubastrea,Astreopora,Echinophyllia,Pachyseris,Turbinaria,Pavona,Oxypora,Podabacia,Pseudosiderastrea,Psammocora
HA06,HA,85,8000,7716,0,0,0.706004141,0,0,0.090720873,0.203274986,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,90,8000,7743,0,0.951168101,0,0,0,0,0.048831899,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,95,8000,7768,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,100,8000,7793,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,105,8000,7819,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS01,KS,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS01,KS,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS01,KS,15,7500,7323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS01,KS,20,7500,7323,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KS01,KS,25,7500,7324,0,0,0,0,0,0,0.130197682,0.745057941,0.124744376,0,0,0,0,0,0,0,0,0,0,0
KS01,KS,30,7500,7325,0,0,0,0.161255702,0.671317413,0.007781057,0,0.071907701,0,0,0.007915213,0,0,0,0,0,0,0,0.079822914,0
KS01,KS,35,7500,7325,0,0,0,0,0,0.771322412,0,0,0,0,0,0,0,0,0,0,0,0,0.228677588,0
KS01,KS,40,7500,7326,0,0,0,0,0,0.970874133,0.012472304,0.016653563,0,0,0,0,0,0,0,0,0,0,0,0
KS01,KS,45,7500,7326,0,0,0,0,0,0.980830495,0.019169505,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS02,KS,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
