Code,Location,Site,Day,Month,Year,Depth,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
HP-W-D0-1988-9-12,Hantu Patch,HP-W,12,9,1988,0,0,0,0,6,0,0,0,12,0,0,0,12,276,30,2,24,10,8,0,0,4,0,0,64,0,0,0,0,18,0,12,0,184,0,0,62,0,0,0,56.8,18,154,248,0,66,32,0,6,0,12,0,86,0,0,0,0,0,0,0,0,1402.8
HP-W-D6-1988-9-12,Hantu Patch,HP-W,12,9,1988,6,0,0,0,0,0,0,0,0,0,44,0,20,2,44,0,10,4,0,0,0,0,0,14,0,0,0,0,0,8,0,4,0,0,0,0,6,18,0,0,0,19,85,50,0,0,8,0,22,0,0,0,80,0,0,0,0,0,0,0,12,450
HP-W-D10-1987-5-18,Hantu Patch,HP-W,18,5,1987,10,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,2.4,0,0,7,0,0,0,0,0,0,0,0,1.8,0,0,0,2,0,0,0,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,3,0,0,279.2
HP-W-D3-1986-6-19,Hantu Patch,HP-W,19,6,1986,3,0,0,0,0,0,0,0,0,0,0,0,3.4,0,10,4,0,0,12.6,0,3,0,0,0,14.4,0,0,0,0,0,0,0,0,12,0,0,482.2,0,0,0,0,5,2.2,41,0,12.6,0,0,0,10,0,0,62.4,0,0,0,0,0,0,0,0,674.8
HP-W-D3-1992-2-24,Hantu Patch,HP-W,24,2,1992,3,0,0,0,0,0,0,2.2,21.8,0,0,0,1.6,91.8,44.8,18.6,21.4,44.8,64.2,23.8,3.2,0,0,0,14.2,0,0,0,0,24.8,0,3.8,0,72.2,0,0,6.8,6.4,0,0,101.4,67.4,16.2,187.2,0,0,9.2,0,6.8,0,47.2,0,34,30,0,2,0,0,0,0,0,967.8
HP-W-D6-1992-2-24,Hantu Patch,HP-W,24,2,1992,6,0,5,0,23.6,0,0,0,39.8,0,15.6,0,9,94,4.8,3.4,0,12.2,16.2,13.6,8.8,0,0,9.8,1.6,0,0,0,0,48.8,0,0,0,13.8,0,0,23.6,8.4,0,0,64.2,55.8,18.4,144.6,0,0,17,0,2,0,25.4,0,17.6,0,0,25.8,0,5.6,0,0,0,728.4
HP-W-D10-1992-2-24,Hantu Patch,HP-W,24,2,1992,10,0,0,0,0,0,0,1.6,2.8,0,2,0,3.4,3.2,0,4.4,0,6.4,0,0,0,0,0,3.8,0,0,0,0,2,0,0,0,0,0,0,0,0,5.4,0,0,3.4,0,3.8,25.8,0,0,3,0,6.8,0,7.8,0,24.4,0,0,0,0,0,0,0,0,110
HP-W-D0-1992-2-26,Hantu Patch,HP-W,26,2,1992,0,0,50.2,0,0,0,0,0,10.4,0,0,0,9,14.4,228.4,4.8,0,6.4,185.4,38.6,0,0,0,0,60.4,4.4,0,0,0,2.4,0,0,0,102.6,0,0,72.4,0,0,15.8,1.2,12.8,149.6,145.2,0,1.6,0,0,0,0,2.2,0,85,51,0,23.4,0,0,0,0,0,1277.6
KU-NE-D3-2017-10-3,Kusu Island,KU-NE,3,10,2017,3,5.2,0,0,0,0,0,0,7,0,0,6.4,16.6,0,0,9.8,5.6,0,1.2,7.2,12.4,0,0,0,32.8,0,0,0,0,0,0,31.8,0,13.8,0,0,251.4,0,0,0,0,0,0,4,0,9.8,0,0,0,7.4,23.4,0,43.2,0,0,0,0,0,0,39,0,528
KU-NE-D3-2019-9-16,Kusu Island,KU-NE,16,9,2019,3,0,13,0,0,0,0,0,0,0,0,32.4,8.2,17.2,63,0,15.4,0,16.8,0.8,5,0,0,0,50.6,0,0,31.8,0,1,0,75.6,0,72,0,0,21.6,12,0,28,0,42.8,8.4,28.6,0,52.8,0,0,0,4,28.4,0,26,30.2,0,0,0,0,0,29.2,0,714.8
