Core,Depth,2000,500,125,0
SM02,65,20.95066906,61.9838546,11.68862792,5.386794488
SM02,75,26.90620783,59.22241565,8.534878543,5.339696356
SM02,85,24.19637639,65.33658679,7.74043834,2.724248977
SM02,95,37.76888444,47.61830915,9.202856428,5.411555778
SM02,105,31.15306811,47.00570915,15.68483704,6.15140481
SM03,5,1.060180854,15.18553165,83.7542875,
SM03,15,3.928920769,59.01532442,37.05575481,
SM03,25,12.73986268,63.73452262,23.52561469,
SM03,35,9.44147282,65.44346312,25.11506406,
SM03,45,18.47270772,54.27534283,27.25194945,
SM03,55,23.37359918,54.44622326,22.18017756,
SM03,65,19.75529479,48.95535203,31.28935318,
SM03,75,25.92242195,34.87228004,39.20529801,
SM03,85,23.08132875,28.12142039,48.79725086,
SM03,95,29.19708029,38.68613139,32.11678832,
SM03,105,20.70921986,12.76595745,66.5248227,
SM03,115,24.92548435,16.24441133,58.83010432,
SM03,125,23.1292517,16.83673469,60.03401361,
SM03,135,22.62280306,14.1955836,63.18161334,
SM03,145,31.44104803,6.288209607,62.27074236,
SM03,155,22.40802676,10.07060572,67.52136752,
SM03,165,8.908772612,21.35771251,69.73351488,
SM03,175,8.677396781,14.69559132,76.6270119,
SM03,185,16.50257853,28.31692452,55.18049695,
SM03,195,9.939002512,35.51489056,54.54610693,
SM03,205,13.26635755,27.22823287,59.50540958,
SM03,215,31.23287671,13.15068493,55.61643836,
SM04,5,0.066467265,26.33944167,60.84560319,12.76121635
SM04,15,0.027464982,22.42282889,61.64721368,15.90003708
SM04,25,0.065274151,28.96667755,55.28248368,15.67838773
SM04,35,0.113293051,24.44848659,56.30863482,19.12958554
SM04,45,0.026899798,22.94535306,59.22335037,17.80296301
SM04,55,1.730944428,20.52500456,40.42891285,37.29986183
SM04,65,0,12.76602716,23.66849745,63.57143463
SM04,75,6.493902439,12.42596341,12.14842073,68.91331402
SM04,85,0.159235669,21.85835987,31.39033439,46.59754777
SM04,95,0.098863075,9.157642116,10.80014582,79.96176223
SM04,105,0.097040272,4.043551674,5.94640951,89.90263222
SM04,115,0.181818182,21.86928485,11.16995152,66.8218303
SM04,125,0,22.31936652,8.047743213,69.61556561
SM04,135,0.028401022,12.08044306,6.35861687,81.55571713
SM04,145,0.070854983,9.037855456,6.820859707,84.0427539
SM04,155,0.057971014,4.502678261,8.283365217,87.15935942
SM04,165,0.445712248,12.01553931,13.04354965,74.48486005
SM04,175,0,5.242409172,15.07212498,79.68461489
SM04,185,0.074671446,3.464755078,14.98907706,81.4635902
SM04,195,0,0.998397633,17.67087637,81.29894983
SM04,205,0.033478406,1.04978797,15.83183462,83.07496485
SM04,215,0.043434197,0.579122629,16.52609671,82.8237281
SM04,225,0,0.289457648,16.56215265,83.14481109
SM04,235,0,0.039840637,9.7230249,90.21714243
SM04,245,0.013168291,0.302870687,9.835411509,89.80268172
SM04,255,0,0.585223116,8.490354269,90.91448114
SM04,265,0,0.333576566,10.33930724,9.660419906
SM04,275,0.073523405,0,11.49115922,88.44236092
SM04,285,0,0.040436717,14.27412151,85.68544177
SM04,295,0.009989012,0.289681351,9.815107382,89.89470782
SM05,5,1.450631727,33.48931524,58.57120574,6.488847294
SM05,15,0.766155896,39.67355097,54.65245392,4.907839218
SM05,25,1.747987928,30.63380282,60.67655936,6.941649899
SM05,35,0.823238857,28.04892391,71.12783723,0
SM05,45,0.558269365,39.77669225,59.66503838,0
SM06,5,3.847604677,29.59260656,54.01735194,12.54243682
SM06,15,0.239467849,39.12195122,45.77383592,14.86474501
SM06,25,0.970787317,36.64944781,55.8247239,6.555040969
SM06,35,0.01396648,36.7877095,53.18435754,10.01396648
SM06,45,0.361467558,37.84565335,48.83426712,12.95861196
SM06,55,0.208830549,35.88902148,42.89976134,21.00238663
SM06,65,0.023883449,37.49701457,41.27059947,21.20850251
SM06,75,0.897699645,38.2270432,46.53076491,14.34449224
SM06,85,0.61560746,34.74560927,41.2638059,23.37497737
